Timestamp,study,Journal,Study #,Start Date,End Date,Country,Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,ARDS (n),Mechanical Ventilation (n),ICU (n),Smokers (n),COPD (n),Cardiovascular disease (n),Diabetes (n),Testing,Method,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site,patients,Type,coinfection,secondary_infection,Were bacteria names specified?,Mycoplasm,Chlamydia,S aureus,S pneumo,Enterococcus faecium species?,Haemophilus species?,Pseudomonas,Klebsiella,E. coli,Acinetobacter,Enterobacter,Enterococcus spp,CNST,Citrobacter,Moraxella ,Stenotrophomonas,Serratia,Strep non-pna,Legionella,Proteus spp.,Other GN,Other GP,Other not reported,Other bacteria and their numbers?,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the studys target population a close representation of the national population in relation to relevant variables?,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3: Was some form of random selection used to select the sample, OR was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,quality score,bias,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),Measured both CoI and Secondary?,Number of Other immunomodulators?
10/05/2021 11:51,"Ramadan HKA, 2020",Infection and Drug Resistance,23306,03/05/2020,30/06/2020,Egypt,Middle East,Prospective Cohort,Hospital,260,,,most common age range was between 51 and 70 years (36.2%),116,All combined,12,8,,44,2,18,60,specified,culture,"Microbiological examination was only done for patients with suspected co-infection. Under proper infection control measures, sputum or endotracheal aspirates were collected from COVID-19 patients throughout the course of illness. Blood samples were inoculated directly into BacT/ ALERT blood culture bottles (BioMérieux, Marcy lEtoile, France) and monitored for bacterial growth. Samples were streaked out on Blood agar (Oxoid, CM0271) with 5% mammalian blood, initial identification of the bacterial isolates was done by Gram staining and growth characteristic on Mannitolsalt agar (Oxoid, PO0151) and MacConkey agar (Oxoid, CM0007). Microorganisms and their antimicrobial sensitivity patterns were identified using the VITEK2 Microbiology automated system (BioMerieuxs). To distinguish between colonization and infection, 10 ?L of the respiratory specimen were inoculated on appropriate bacteriological media and incubated at 37?C for 2448 h. Then, the number of CFU per mL of the sample was determined. Presence of ?105 CFU/mL in sputum or endotracheal aspirates indicated bacterial co-infection based on the American Thoracic Society definitions.",Y,Respiratory and Blood,260,Not-specified,28,,Yes,0,0,5,2,0,0,4,12,4,7,2,1,,,,,,,,,,,,E. faecalis = 1 resp; Acinetobacter baumannii = 7 resp; E. cloacae = 2 resp,,,,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,6,moderate,Yes,,
12/06/2021 10:41,"Ferrando C, 2020",Revista espanola de anestesiologia y reanimacion,23352,12/03/2020,16/05/2020,Spain,Europe,Prospective Cohort,Hospital ICU,663,,64,Median,219,Critical,601,494,663,,28,,151,unspecified,unspecified,"""infectious complications.... bacteremia"" also measured ""respiratory super-infection but combined fungal and bacterial"" - therefore not included",N,Blood,663,Secondary Infection,,174,No,,,,,,,,,,,,,,,,,,,,,,,,,506,282,604,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,7,moderate,Yes,,"24 ""immunosuppressants"""
14/05/2021 16:40,"Wang K, 2020",Sci Rep,23446,01/02/2020,07/03/2020,China,Asia,Retrospective Cohort,Hospital,77,Fatal COVID-19,71,Mean/Average,26,Severe and Critical,67,31,77,33,8,18,18,specified,culture,"""blood specimen"" ""sputum culture""",N,Respiratory and Blood,77,Not-specified,5,,Yes,,,1,,,,2,1,,1,,,,,,,,,,,,,,1 Acinetobacter baumannii,,,77,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,
06/05/2021 14:13,"Yao T, 2020",BMC Infectious Diseases,23484,26/01/2020,28/02/2020,China,Asia,Case Series of equal or more than 50 patients,Hospital,83,Fatal COVID-19,71.8,Mean/Average,30,Fatal,71,71,,,16,26,14,specified,culture,,N,Respiratory and Blood,83,Secondary Infection,,31,No,,,,,,,,,,,,,,,,,,,,,,,,,54,,81,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,
16/05/2021 22:24,"Shi P, 2020",Epidemiology and Infection,23563,23/01/2020,07/03/2020,China,Asia,Retrospective Cohort,Hospital,134,,46,Median,69,All combined,3,2,,14,5,6,9,unspecified,unspecified,,Y,Unclear,134,Secondary Infection,,23,No,,,,,,,,,,,,,,,,,,,,,,,,,41,,103,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,3,high,Yes,,"gamma globulin, 13 patients"
10/05/2021 14:31,"Munoz P, 2020",Revista Espanola de Quimioterapia,23643,01/03/2020,11/03/2020,Spain,Europe,Retrospective Cohort,Hospital/Outpatients,100,,61.5,Median,48,All combined,30,,13,20,10,22,19,unspecified,unspecified,not stated,N,Respiratory and Blood,100,Not-specified,9,,No,,,,,,,,,,,,,,,,,,,,,,,,,,11,60,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,5 = immunosuppressed
07/05/2021 22:27,"Guo L, 2020",Infection and Drug Resistance,23789,01/01/2020,21/02/2020,China,Asia,Retrospective Cohort,Hospital,348,,51.59,Mean/Average,145,All combined,,5,11,,5,18,36,unspecified,unspecified,"Doesn't explicitly specify that bacterial co-infection is resp or blood: ""For coinfection, two patients were infected with Epstein Barr virus, while no other respiratory virus infection was found. Only four hospitalized patients had bacterial coinfection. Two patients from the nonsevere group were infected with antibiotic-resistant bacteria, which were Escherichia coli and Serratia marcescens separately. One other patient was positive for Mycoplasma pneumoniae. No infection of fungi or tuberculosis was found among the patients.""",N,Unclear,348,Co-infection,4,,Yes,1,0,0,0,0,0,0,0,1,,,,,,,,1,,,,,,1,Serratia marcescens = 1; Other (not reported) =1,62,,240,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
11/05/2021 15:33,"McCracken JA, 2020",Translational Medicine Communications,24291,17/03/2020,16/04/2020,United States,North America,Case Series of equal or more than 50 patients,Hospital,200,Fatal COVID-19,73,Median,83,All combined,,77,55,19,16,49,115,unspecified,unspecified,"blood culture but not clear for resp ""tracheal aspirate""",Y,Respiratory and Blood,200,Not-specified,13,,Yes,,,8,,,,2,2,,,1,,,,,,,,,,,,,"Enterobacter gergoviae=1 , CNST blood 16 = not counted as authors indicated suspected contam'n",10,10,,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,No or unclear,6,moderate,Yes,,
12/05/2021 12:13,"Dreher M, 2020",Deutsches Arzteblatt Internationa,24406,01/02/2020,31/03/2020,Germany,Europe,Case Series of equal or more than 50 patients,Hospital,50,,65,Median,17,All combined,24,,24,8,11,,29,unspecified,unspecified,bacterial superinfection of the lungs was seen in three patients in the ARDS group and in one patient in the non-ARDS group (Table 2).,N,Respiratory,50,Secondary Infection,,4,No,,,,,,,,,,,,,,,,,,,,,,,,,10,,17,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,7,moderate,Yes,,4
12/05/2021 11:33,"Karmen-Tuohy S, 2020",JAIDS,24529,02/03/2020,23/04/2020,United States,North America,Retrospective Cohort,Hospital,63,1/3 HIV positive,61,weighted mean,6,All combined,,10,13,16,,4,12,specified,culture,The presence of a superimposed bacterial pneumonia was also evaluated. Twelve total patients (6 HIV-positive and 6 non-HIV) had sputum cultures performed because of clinical suspicion of bacterial superinfection,Y,Respiratory,63,Not-specified,4,,Yes,,,1,,,,2,1,1,,,,,,,2,,,,,,,,"steno = 2, (number of organisms not patients)",4,1,,Yes,No or unclear,No or unclear,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,7,moderate,Yes,,ivig = 1
07/06/2021 10:52,"Boren H, 2020",Tidsskr Nor Legeforen,24821,06/03/2020,29/04/2020,Norway,Europe,Retrospective Cohort,Hospital,191,,,not calculated,,All combined,,,,,,,,unspecified,unspecified,,N,Respiratory and Blood,191,Not-specified,15,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,4,high,Yes,,
27/05/2021 18:51,Rahmani H 2020,International Immunopharmacology,24844,20/04/2020,20/05/2020,Iran,Middle East,Randomized Controlled Trial,Hospital,66,,60,Median,27,Severe,8,8,36,,3,20,21,unspecified,unspecified,,N,Respiratory and Blood,66,Secondary Infection,,6,Yes,,,3,,,,,2,,1,,,,,,,,,,,,,,Acinetobacter baumanni = 1 VAP,14,,34,Yes,Yes,Yes,Yes,No or unclear,No or unclear,Yes,No or unclear,Yes,Yes,7,moderate,,,
21/05/2021 15:41,"Xu R, 2020",Frontiers in Medicine,25022,01/01/2020,25/03/2020,China,Asia,Retrospective Cohort,Hospital,117,,,age not calculable,62,All combined,5,13,21,11,,8,18,unspecified,unspecified,"bacterial coinfection (4 points, presented with bacteria positive by laboratory tests or sputum tests and there were consolidation signs on CT feature",Y,Unclear,117,Co-infection,28,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,104 interferon
12/05/2021 16:54,"Contou D, 2020",Annals of Intensive Care,25386,13/03/2020,16/04/2020,France,Europe,Retrospective Cohort,Hospital ICU,92,,61,Median,19,Critical,,83,92,,,9,35,specified,culture and PCR and UAT,"Three respiratory PCRs were used during the study period: a specific PCR detecting Influenza A and B (Cepheid Xpert Xpress Flu/RSV), a multiplex PCR detecting 18 bacteria and 9 viruses on respiratory tract secretions (Panel Pneumonia Plus Film array Biomerieux) and a multiplex PCR detecting 4 bacteria and 15 viruses on a nasopharyngeal swab (Panel RP2 plus Film array Biomerieux). These 3 PCRs are routinely used in our ICU for the diagnosis and for the treatment of patients admitted for severe lower respiratory tract infections",N,Respiratory and Blood,92,Co-infection,26,,Yes,7,,7,5,,4,1,2,2,1,1,,,,,,,,,,,,,"Aba=1 E clo=1, excluded PCR only to avoid duplicates and positive NP swabs",3,,92,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,6,moderate,Yes,,azathioprine =1
07/06/2021 10:35,"Guaraldi G, 2020",Lancet Rheumatol,25807,21/02/2020,30/04/2020,Italy,Europe,Retrospective Cohort,Hospital,544,,67,Median,185,Severe,,90,,,,,,unspecified,unspecified,,N,Respiratory and Blood,544,Secondary Infection,,23,No,,,,,,,,,,,,,,,,,,,,,,,,,114,179,,No or unclear,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,
07/05/2021 21:59,"Lendorf ME, 2020",Dan Med J,25875,01/03/2020,18/05/2020,Denmark,Europe,Case Series of equal or more than 50 patients,Hospital,111,,68,Median,44,All combined,19,12,20,43,8,19,16,specified,culture,"Criteria used for identifying co-infections were: (1) positive culture or PCR, (2) sample aquired within 3 days of hospitalization, (3) clinically relevant, i.e. likely to contribute to symptomatology and guided treatment.",N,Respiratory and Blood,111,Co-infection,7,,Yes,0,0,3,0,0,2,0,1,1,,,,,,1,,,,1,,,,,"M cat=1, legionella=1",5,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
18/05/2021 23:18,"Hughes S, 2020",Clinical Microbiology and Infection,26209,20/02/2020,30/04/2020,UK,Europe,Retrospective Cohort,Hospital,836,,69.5,Median,317,All combined,,,113,,,,,specified,culture + urinary antigens,"microbiology data (including culture of blood, sputum and bronchoalveolar lavage (BAL), as well as urinary pneumococcal and Legionella antigens",Y,Respiratory and Blood,836,Co-infection,27,21,Yes,,,5,,,1,3,3,,,2,1,,,,,1,4,,,5,,,"Enterobactales unspecified (5), Streptococcus spp (4), Enterococcus spp (1), Enterobacter spp (2), Serratia spp (1), doesn't clearly breakdown co- vs. secondary infection",,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,Y = Secondary Inf = 21,
11/05/2021 22:08,"Rossotti R, 2020",Journal of Infection,26287,13/03/2020,03/04/2020,Italy,Europe,Retrospective Cohort,Hospital,222,,59,Median,41,severe + critical,,,162,,,,,unspecified,unspecified,,N,Unclear,74,Secondary Infection,,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,74,,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,4,high,Yes,,
21/05/2021 16:39,"Rinaldi M, 2020",Transplant Infectious Diseases,27399,15/03/2020,30/04/2020,Italy,Europe,Prospective Cohort,Hospital,885,Transplant,69,Median,293,All combined,293,,290,,,,,unspecified,unspecified,"Bacterial infection was assessed according to CDC criteria. indicates ""superinfection""",Y,Unclear,885,Secondary Infection,,142,No,,,,,,,,,,,,,,,,,,,,,,,,,369,177,,No or unclear,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,4,high,Yes,,
11/05/2021 22:38,"Li Y, 2020",Pediatric Pulmonology,27813,28/01/2020,12/03/2020,China,Asia,Retrospective Cohort,Hospital,127,Pediatrics/Neonatal,6,Median,55,All combined,,,2,,,2,,specified,culture,Bacteria were detected from sputum culture.,N,Respiratory,127,Not-specified,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,48,Yes,No or unclear,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,6,moderate,Yes,,IVIG (1 patient)
22/05/2021 14:41,"Kewan T, 2020",EClinicalMedicine,27865,13/03/2020,19/04/2020,United States,North America,Retrospective Cohort,Hospital,51,,65,Median,20,Severe + critical,,32,40,21,6,9,19,specified,culture,"""Blood cultures were obtained from 45 (88%) patients on admission."" For secondary infections/hospital-acquired infections, unclear method of testin.",N,Blood,51,Co-infection,1,,Yes,,,1,,,,,,,,,,,,,,,,,,,,,,31,28,48,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,8,low,Yes,,
11/05/2021 13:24,"Vaughn VM, 2021",Clinical Infectious Diseases,27931,13/03/2020,18/06/2020,United States,North America,Retrospective Cohort,Hospital,1705,,64.7,Median,820,All combined,,116,185,,200,,,specified,"culture, PCR, UAT","Coinfections were identified by (1) blood or respiratory culture positive for a typically pathogenic bacterium (for a list of excluded contaminants, see the Supplementary Appendix), (2) positive Legionella pneumophila or Streptococcus pneumonia antigen, or (3) positive Mycoplasma pneumonia or Chlamydophila pneumonia PCR test",Y,Respiratory and Blood,1705,Co-infection,59,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,965,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,"166 = ""on immunosupressants"""
22/05/2021 15:28,"Shang Y, 2020",EClinicalMedicine,28001,01/01/2020,27/03/2020,China,Asia,Retrospective Cohort,Hospital,113,,66,Median,40,severe + critical,,38,,,5,28,20,unspecified,unspecified,,N,Unclear,113,Co-infection,11,,Yes,6,2,,,,,,3,,,,,,,,,,,,,,,,,75,,109,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,2,high,Yes,,IVIG 28 patients
10/06/2021 14:31,"Sinha P, 2020",International Journal of Infectious Diseases,28009,17/03/2020,30/04/2020,United States,North America,Retrospective Cohort,Hospital,255,,59,Median,94,All combined,,68,105,,15,7,79,unspecified,unspecified,,N,Unclear,255,Secondary Infection,,34,No,,,,,,,,,,,,,,,,,,,,,,,,,,255,,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,Yes,Yes,Yes,8,low,Yes,,255 included sarilumab and toci - drugs were considered switched when stock was depleted
22/05/2021 2:45,"Jang J, 2020",J Korean Med Sci,29726,19/02/2020,15/04/2020,South Korea,Asia,Retrospective Cohort,Hospital,110,,56.9,Mean/Average,62,All combined,,,,,4,10,29,unspecified,unspecified,,N,Unclear,110,Co-infection,2,,Yes,0,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,,0,21,,108,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,0
17/06/2021 17:47,"Zhang P, 2020",Clinical Nutrition,31879,28/01/2020,21/02/2020,China,Asia,Retrospective Cohort,Hospital ICU,136,,69,Median,50,Critical,119,90,136,,12,26,56,specified,culture,"Secondary
infection was defined as clinical symptoms or signs of nosocomial
pneumonia or bacteremia and a positive culture of a new pathogen
was obtained from lower respiratory tract specimens or blood
samples after admission",Y,Respiratory and Blood,136,Secondary Infection,,88,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,7,moderate,Yes,,
10/05/2021 23:02,"Lehmann C, 2020",Clin Infect Dis,32006,01/03/2020,11/04/2020,United States,North America,Retrospective Cohort,Hospital,321,,60,Mean/Average,166,All combined,,,17,,,,,specified,"culture, nasopharyngeal PCR, urine Streptococcus pneumoniae antigen, urine Legionella pneumophilia antigen","The tests used were respiratory bacterial cultures (endotracheal aspirates and expectorated sputum), nasopharyngeal PCR, urine Streptococcus pneumoniae antigen, and urine Legionella pneumophilia antigen. Two PCR panels were used: respiratory bacterial viral pathogen (RVBP; Biofire FilmArray Torch) and respiratory syncytial virus (RSV)/influenza (Cepheid GeneExpert XVI). The RBVP includes targets for adenovirus; coronaviruses 229E, HKU, NL63, and OC43; human metapneumovirus; rhinovirus/enterovirus; influenza A and B; parainfluenza 14; RSV; Bordetella pertussis; Bordetella parapertussis; Chlamydophila pneumoniae; and Mycoplasma pneumoniae.",Y,Respiratory and Blood,321,Co-infection,7,,Yes,,,2,4,,,,,,,,,,,,,,1,,1,1,,,"Proteus mirabilis (1), Bordetella parapertussis (1), Streptococcus mitis (1)",,,222,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,8,low,Yes,,
22/05/2021 23:00,"Pereira A, 2020",Acta Obstet Gynecol Scand,32159,14/03/2020,14/04/2020,Spain,Europe,Retrospective Cohort,Hospital/Outpatients,60,Obstetrics/Pregnancy,34,Median,60,All combined,,,1,,,,,unspecified,unspecified,,N,Respiratory,60,Co-infection,5,,Yes,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,2,5,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,4,high,Yes,,
17/06/2021 17:00,"Xiao LS, 2020",EBioMediicine,32507,01/01/2020,18/03/2020,China,Asia,Retrospective Cohort,Hospital,442,,,not reported,220,All combined,,,,14,2,11,29,unspecified,unspecified,"""combined bacterial infection""",N,Unclear,442,Co-infection,296,,No,,,,,,,,,,,,,,,,,,,,,,,,,197,,326,No or unclear,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,4,high,Yes,,
22/05/2021 15:55,"Somers E, 2020",Clinical Infectious Diseases,32508,09/03/2020,20/04/2020,United States,North America,Retrospective Cohort,Hospital ICU,154,,58,Mean/Average,52,Critical,,154,,,29,,25,specified,culture,All positive blood and respiratory cultures were assessed by an infectious diseases physician to adjudicate infection versus colonization.,N,Respiratory and Blood,154,Secondary Infection,,57,Yes,,,22,2,3,1,6,8,5,2,2,,4,1,,2,3,1,,,,1,,"Serratia marcescens (3), Stenotrophomonas maltophilia (2), CNST (4), Acinetobacter baumanii (2), Citrobacter koseri (1), Corynebacterium striatum (1), Proteus mirabilis (2), Enterobacter cloacae (2), Streptococcus mitis (1)",38,78,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,8,low,Yes,,
06/05/2021 13:03,"Lee S-I, 2020",Respirology,33447,01/02/2020,10/07/2020,South Korea,Asia,Retrospective Cohort,Hospital,140,,53.4,weighted mean,NR,All combined,,11,,,,,,specified,blood culture and PCR for resp,"). Blood culture was done in all patients (100%) and pneumonia polymerase chain reaction (PCR) in 35 patients (25%). Of these, 31 patients (22.1%) had secondary infections, and 3 of them were tested while on a ventilator",N,Respiratory and Blood,140,Secondary Infection,,31,Yes,1,,,20,2,15,1,1,,,,,,,,,,,,,1,6,,"Enterobacteriaceae = 1
Staph spp = 4
Corynebacterium = 2",,,,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,6,moderate,Yes,,
12/05/2021 11:06,"Soriano MC, 2020",Journal of Infection,33484,10/03/2020,19/06/2020,Spain,Europe,Case Series of equal or more than 50 patients,Hospital ICU,83,,61.2,Mean/Average,17,Critical,,78,83,,,,,unspecified,unspecified,,N,Respiratory,83,Secondary Infection,,70,No,,,,,,,,,,,,,,,,,,,,,,,,,67,59,,No or unclear,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,
10/05/2021 15:57,"Elabbadi A, 2021",Infection,33497,22/02/2020,07/05/2020,France,Europe,Retrospective Cohort,Hospital,101,,61,Median,22,Critical,,83,101,4,7,14,33,specified,culture,"Respiratory tract specimens were obtained within the first 48 h of ICU admission. Direct examination and quantitative cultures were performed on usual media for sputum, tracheal aspirate, plugged telescoping catheter, or bronchoalveolar lavage, considering the respective positivity thresholds: 106 cfu/ml, 105 cfu/ml, 103 cfu/ml and 104 cfu/ml",N,Respiratory and Blood,101,Co-infection,20,48,Yes,,,11,1,,2,2,2,2,,,,,,,,,,,,4,,,"M catarrhalis = 1, Enterobacter, Citrobacter, Hafnia spp.=4",10,,58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,Y=Secondary infection = 48,11
10/05/2021 15:33,"Vanhomwegen C, 2021",Irish Journal of Medical Science,33579,02/03/2020,02/06/2020,Belgium,Europe,Retrospective Cohort,Hospital ICU,66,,61,Median,25,Critical,,,66,,4,,21,specified,culture,"Bacterial co-infection was defined when a patient has a positive culture for a bacterial pathogen obtained from lower respiratory tract collections (sputum, endotracheal aspirate, or bronchoalveolar lavage fluid) or blood samples within 48 h of ICU admission. Detection of bacteria in an isolate not from respiratory tract or blood sample was not selected.",Y,Respiratory and Blood,66,Co-infection,7,,No,,,,,,,,,,,,,,,,,,,,,,,,,18,,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
05/05/2021 15:29,"Odille G, 2021",JAMDA,33658,01/03/2020,01/05/2020,France,Europe,Prospective Cohort,Hospital,124,Older adults,85.2,weighted mean,60,All combined,,0,0,,,,,specified,culture,"""bacteremia""",Y,Blood,124,Not-specified,6,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,Yes,Yes,8,low,Yes,,
11/05/2021 14:21,"Karaba SM, 2021",Open Forum Infectious Diseases,33821,01/03/2020,31/05/2020,United States,North America,Retrospective Cohort,Hospital,1016,,62,Median,473,All combined,,,118,,,,90,specified,culture and UAT,"Organism(s) recovered from blood culture and deemed not to be a contaminant.  Pathogen identified on respiratory culture
AND/OR
 Positive S. pneumoniae urinary antigen",Y,Respiratory and Blood,1016,Co-infection,21,,Yes,,,7,,,,,2,5,,,1,5,1,,,,,,,1,,,"CNST = 5, Enterococcus = 1, Citrobacter =1, other GNB=1",,,717,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,57 = immunocomp condition
22/05/2021 0:00,"Nicolas D, 2021",Open Forum Infectious Diseases,33958,09/03/2020,04/05/2020,Spain,Europe,Prospective Cohort,Outpatients,590,Health care workers,40,Median,449,All combined,,0,0,26,34,4,,unspecified,unspecified,,N,Unclear,590,Not-specified,0,,No,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,5,moderate,Yes,,
22/05/2021 22:44,"Ignatius E, 2021",Open Forum Infectious Diseases,33959,15/03/2020,27/06/2020,United States,North America,Retrospective Cohort,Hospital,1759,,61,Median,824,All combined,,,,,270,546,511,unspecified,unspecified,,Y,Respiratory,1759,Secondary Infection,,49,No,,,,,,,,,,,,,,,,,,,,,,,,,81,90,,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,4,high,Yes,,
21/05/2021 16:11,"Xu W, 2021",Scientific Reports,34023,22/01/2020,01/04/2020,China,Asia,Retrospective Cohort,Hospital,659,,50,Median,327,All combined,583,,33,51,7,23,66,unspecified,unspecified,"""secondary bacterial infection"" Patients with one of the following symptoms are diagnosed as secondary bacterial infection: bacteria are found in sterile sites; patients have a fever that was unrelated to the initial disease, accompanied by elevated CRP",N,Unclear,659,Secondary Infection,,48,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,1
13/05/2021 10:44,"Dupuis C, 2021",Critical Care Explorations,34327,15/02/2020,01/05/2020,France,Europe,Prospective Cohort,Hospital ICU,245,,61,Median,74,Critical,245,136,245,,,59,,unspecified,unspecified,ICU acquired pna and bacteremia,N,Respiratory and Blood,245,Secondary Infection,,110,No,,,,,,,,,,,,,,,,,,,,,,,,,68,22,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,anakinra = 22
13/05/2021 14:37,"Sim B, 2020",The Lancet Regional Health. Western Pacific,34333,01/02/2020,05/05/2020,Malaysia,Asia,Retrospective Cohort,Hospital,5889,,34,Median,1668,All combined,136,138,193,529,32,190,578,specified,unspecified,"only reports bacteremia, ""secondary bacteremia""",N,Blood,5889,Secondary Infection,,39,No,,,,,,,,,,,,,,,,,,,,,,,,,128,25,748,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,6,moderate,Yes,,"142 interferon alpha, beta"
07/06/2021 16:17,"Elghoudi A, 2020",Frontiers in Pediatrics,34405,01/03/2020,31/05/2020,United Arab Emirates,Middle East,Retrospective Cohort,Hospital/Outpatients,288,Pediatrics/Neonatal,6.5,Median,140,All combined,0,0,0,,,,1,unspecified,unspecified,,N,Respiratory,288,Co-infection,5,,Yes,,,,1,,1,,,,,,,,,,,,3,,,,,,Group A streptococcus (3),,0,50,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,4,high,Yes,,
23/05/2021 16:07,"Wang J, 2020",WJCC,35781,24/01/2020,17/02/2020,China,Asia,Retrospective Cohort,Hospital,56,,45,Median,24,Critical,2,5,1,11,2,4,7,unspecified,unspecified,Pharyngeal swabs and sputum samples were collected from all patients and kept in culture medium for the virus during transportation,N,Unclear,56,Co-infection,1,,No,,,,,,,,,,,,,,,,,,,,,,,,,10,,22,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,IV immunoglobin (7)
